match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_0490e69c,Haiku-TR,24,win,5353,27.52049422264099,0.02348799999999998,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010611999999999983, ""Haiku-TR"": 0.012875999999999999}"
match_0ea136e4,Haiku-HO,24,win,5350,29.443445682525635,0.023020999999999903,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012565999999999966, ""Haiku-HO"": 0.010454999999999937}"
match_28b188e5,Haiku-TR,24,win,5352,27.82977843284607,0.02359600000000006,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.01092700000000002, ""Haiku-TR"": 0.012669000000000041}"
match_2b200161,Haiku-TR,24,win,5348,29.047876358032227,0.023479999999999945,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010716999999999977, ""Haiku-TR"": 0.012762999999999969}"
match_2cf87a7e,Haiku-HO,24,win,5345,29.150893926620483,0.02346100000000001,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.01290100000000001, ""Haiku-HO"": 0.01056}"
match_2e4d4b4d,Haiku-HO,24,win,5342,19.02361798286438,0.023675999999999996,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012900999999999996, ""Haiku-HO"": 0.010774999999999998}"
match_3cad7616,Haiku-TR,24,win,5347,31.133569478988647,0.02348599999999998,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010416999999999982, ""Haiku-TR"": 0.013068999999999997}"
match_58a4ecc5,Haiku-TR,24,win,5344,20.229286193847656,0.023113,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010606999999999998, ""Haiku-TR"": 0.012506000000000003}"
match_5c526e6b,Haiku-HO,24,win,5344,18.25722050666809,0.02274100000000001,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.01234600000000001, ""Haiku-HO"": 0.010395000000000001}"
match_61194167,Haiku-TR,24,win,5349,29.48483657836914,0.023305999999999993,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010876999999999998, ""Haiku-TR"": 0.012428999999999996}"
match_6b97573e,Haiku-TR,24,win,5342,21.275169372558594,0.023447999999999997,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010787, ""Haiku-TR"": 0.012660999999999999}"
match_78ac1c8f,Haiku-HO,24,win,5347,28.83172631263733,0.023015999999999967,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012675999999999965, ""Haiku-HO"": 0.010340000000000002}"
match_8227e6f3,Haiku-TR,24,win,5350,28.891496181488037,0.022684999999999927,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010291999999999968, ""Haiku-TR"": 0.01239299999999996}"
match_873d4492,Haiku-HO,24,win,5352,26.491324186325073,0.023735999999999924,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012880999999999976, ""Haiku-HO"": 0.010854999999999948}"
match_979157ad,Haiku-TR,24,win,5343,17.059196710586548,0.023382999999999994,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010606999999999991, ""Haiku-TR"": 0.012776000000000003}"
match_ac184736,Haiku-HO,24,win,5343,19.421425819396973,0.023216000000000007,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012411000000000005, ""Haiku-HO"": 0.010805000000000002}"
match_b2ee75b3,Haiku-TR,24,win,5345,28.344783782958984,0.023090999999999973,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010366999999999973, ""Haiku-TR"": 0.012724}"
match_b5705fb3,Haiku-HO,24,win,5351,28.30899930000305,0.023305999999999966,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012531000000000014, ""Haiku-HO"": 0.010774999999999951}"
match_bf9c148c,Haiku-HO,24,win,5346,28.736277103424072,0.023066000000000003,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012521000000000004, ""Haiku-HO"": 0.010544999999999999}"
match_c8b797ef,Haiku-HO,24,win,5349,27.41875171661377,0.022970999999999908,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012500999999999957, ""Haiku-HO"": 0.010469999999999952}"
match_da59b5b4,Haiku-HO,24,win,5348,27.8790500164032,0.023290999999999923,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.012685999999999975, ""Haiku-HO"": 0.010604999999999948}"
match_ec64c607,Haiku-HO,24,win,5353,27.560697555541992,0.02308599999999994,console,Haiku-TR,"Haiku-TR,Haiku-HO","{""Haiku-TR"": 0.01232099999999997, ""Haiku-HO"": 0.010764999999999969}"
match_eea4436c,Haiku-TR,24,win,5351,29.04700016975403,0.023478,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010672000000000015, ""Haiku-TR"": 0.012805999999999984}"
match_fca3ab60,Haiku-TR,24,win,5346,27.812093257904053,0.02281000000000001,console,Haiku-HO,"Haiku-HO,Haiku-TR","{""Haiku-HO"": 0.010352, ""Haiku-TR"": 0.01245800000000001}"
