match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_0ba7d7e5,Gemini-HO,9,win,5453,7.469880104064941,0.0005041,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00026799999999999995, ""Gemini-TR"": 0.0002361}"
match_18a9364e,Gemini-HO,19,win,5446,12.651684522628784,0.0013066,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.0006490000000000001, ""Gemini-TR"": 0.0006575999999999999}"
match_1bc4c152,Gemini-HO,19,win,5443,13.620651960372925,0.0013094,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.0006518, ""Gemini-TR"": 0.0006575999999999999}"
match_22fc1eb0,Gemini-TR,9,win,5446,7.305729389190674,0.0005189,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.00030399999999999996, ""Gemini-HO"": 0.0002149}"
match_2f041891,Gemini-TR,19,win,5451,12.01869010925293,0.0013264000000000001,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0007660000000000001, ""Gemini-HO"": 0.0005604}"
match_41ea4d9a,Gemini-TR,17,win,5448,12.038061618804932,0.0011361000000000001,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0006572, ""Gemini-HO"": 0.0004789}"
match_440c08c0,Gemini-HO,17,win,5447,11.540483474731445,0.0011169,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.0005600000000000001, ""Gemini-TR"": 0.0005568999999999999}"
match_50a22eba,Gemini-HO,9,win,5450,7.8310911655426025,0.0005041,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00026799999999999995, ""Gemini-TR"": 0.0002361}"
match_5fb3c9cf,Gemini-HO,16,win,5453,12.379575967788696,0.0010391,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0005612, ""Gemini-HO"": 0.0004779}"
match_699060a7,Gemini-HO,17,win,5449,12.673202753067017,0.0011169,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.0005600000000000001, ""Gemini-TR"": 0.0005568999999999999}"
match_6c12eb8a,Gemini-TR,9,win,5445,7.4341816902160645,0.0005216999999999999,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.00030399999999999996, ""Gemini-HO"": 0.00021769999999999998}"
match_73b9485e,Gemini-HO,9,win,5445,7.454182386398315,0.0005041,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00026799999999999995, ""Gemini-TR"": 0.0002361}"
match_945bf483,Gemini-HO,22,win,5452,13.97208857536316,0.0016288000000000001,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0008836000000000001, ""Gemini-HO"": 0.0007452000000000001}"
match_a1fad800,Gemini-TR,17,win,5447,10.895291566848755,0.0011349,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0006572, ""Gemini-HO"": 0.0004777}"
match_b6a2ffb6,Gemini-HO,14,win,5450,10.54391098022461,0.0008872,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0004856, ""Gemini-HO"": 0.0004016}"
match_c3c9b9d1,Gemini-TR,9,win,5443,8.082480907440186,0.0005149,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.00030399999999999996, ""Gemini-HO"": 0.0002109}"
match_c7a028b6,Gemini-HO,11,win,5444,8.638589859008789,0.0006353999999999999,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00033140000000000003, ""Gemini-TR"": 0.00030399999999999996}"
match_c8b7b27e,Gemini-HO,12,win,5442,10.268631935119629,0.0007271000000000001,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0003954, ""Gemini-HO"": 0.0003317}"
match_d0a6ea18,Gemini-HO,9,win,5442,8.651459217071533,0.0005041,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00026799999999999995, ""Gemini-TR"": 0.0002361}"
match_d727d98f,Gemini-TR,19,win,5444,13.519532918930054,0.0013264000000000001,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0007660000000000001, ""Gemini-HO"": 0.0005604}"
match_d808b060,Gemini-HO,11,win,5451,7.862894773483276,0.0006353999999999999,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00033140000000000003, ""Gemini-TR"": 0.00030399999999999996}"
match_da9d99ec,Gemini-HO,12,win,5449,11.05313515663147,0.0007155,console,Gemini-TR,"Gemini-TR,Gemini-HO","{""Gemini-TR"": 0.0003838, ""Gemini-HO"": 0.0003317}"
match_e0913250,Gemini-HO,9,win,5452,7.466374397277832,0.0005041,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00026799999999999995, ""Gemini-TR"": 0.0002361}"
match_e2010ec1,Gemini-HO,9,win,5448,7.206467866897583,0.0005041,console,Gemini-HO,"Gemini-HO,Gemini-TR","{""Gemini-HO"": 0.00026799999999999995, ""Gemini-TR"": 0.0002361}"
