match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_00eec0f1,GeminiFlash-TR,14,win,5548,8.006377935409546,0.002233300000000004,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.0010406000000000026, ""GeminiFlash-TR"": 0.0011927000000000014}"
match_0f0bfe9f,GeminiFlash-TR,23,win,5548,16.712618112564087,0.0047992,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.0027601000000000014, ""GeminiFlash-HO"": 0.0020390999999999986}"
match_16fc1722,GeminiFlash-TR,19,win,5549,12.032480001449585,0.0035630999999999927,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.002062399999999999, ""GeminiFlash-HO"": 0.0015006999999999937}"
match_2e7fae42,GeminiFlash-TR,25,win,5552,16.54911208152771,0.005483399999999999,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.0031453999999999996, ""GeminiFlash-HO"": 0.002338}"
match_30874742,GeminiFlash-HO,19,win,5542,12.252704381942749,0.003509100000000002,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.0017654000000000003, ""GeminiFlash-TR"": 0.0017437000000000017}"
match_496a7a20,GeminiFlash-HO,25,win,5552,17.37563443183899,0.005413200000000014,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.0026540000000000175, ""GeminiFlash-TR"": 0.0027591999999999964}"
match_5b4c5e7d,GeminiFlash-TR,16,win,5551,11.87026333808899,0.0027156000000000055,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.0012600000000000042, ""GeminiFlash-TR"": 0.0014556000000000013}"
match_5dbef35f,GeminiFlash-TR,21,win,5551,15.251230001449585,0.0041564000000000045,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.0023964, ""GeminiFlash-HO"": 0.0017600000000000046}"
match_5f930e0d,GeminiFlash-HO,25,win,5550,17.96552348136902,0.005413200000000017,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.002654000000000014, ""GeminiFlash-TR"": 0.0027592000000000033}"
match_689e12dd,GeminiFlash-HO,21,win,5544,11.704797506332397,0.004102100000000001,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.002045100000000001, ""GeminiFlash-TR"": 0.002057}"
match_72ccef1c,GeminiFlash-TR,16,win,5547,9.842021942138672,0.002715600000000002,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.0012600000000000007, ""GeminiFlash-TR"": 0.0014556000000000013}"
match_7a3f2468,GeminiFlash-HO,22,win,5546,12.850873470306396,0.0044324999999999955,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.0023934000000000004, ""GeminiFlash-HO"": 0.002039099999999995}"
match_7cf7eaca,GeminiFlash-HO,20,win,5547,13.60745358467102,0.0038151999999999943,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.0020551999999999966, ""GeminiFlash-HO"": 0.0017599999999999977}"
match_84d95779,GeminiFlash-TR,25,win,5545,14.73405408859253,0.005483399999999996,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.003145399999999996, ""GeminiFlash-HO"": 0.002338}"
match_8f12b867,GeminiFlash-TR,14,win,5545,9.05814242362976,0.002233299999999999,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.0010405999999999992, ""GeminiFlash-TR"": 0.0011926999999999997}"
match_9824603f,GeminiFlash-TR,19,win,5544,13.55250358581543,0.0035558999999999973,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.0020551999999999983, ""GeminiFlash-HO"": 0.001500699999999999}"
match_a6192c09,GeminiFlash-TR,25,win,5542,19.406529426574707,0.005483399999999999,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.0031453999999999996, ""GeminiFlash-HO"": 0.002338}"
match_b6382163,GeminiFlash-HO,19,win,5543,12.683189630508423,0.0035018999999999988,console,GeminiFlash-HO,"GeminiFlash-HO,GeminiFlash-TR","{""GeminiFlash-HO"": 0.0017582000000000006, ""GeminiFlash-TR"": 0.0017436999999999982}"
match_c0ab2096,GeminiFlash-HO,22,win,5550,14.56742525100708,0.004432499999999992,console,GeminiFlash-TR,"GeminiFlash-TR,GeminiFlash-HO","{""GeminiFlash-TR"": 0.002393399999999997, ""GeminiFlash-HO"": 0.002039099999999995}"
