match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_057c1e6e,FlashLite-RC-HP,25,win,10262,19.423463344573975,0.004646600000000042,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.002308600000000008, ""Flash-AO"": 0.0023380000000000345}"
match_06fc6076,Flash-AO,21,win,10243,18.028709411621094,0.0037282,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0020369999999999997, ""FlashLite-RC-HP"": 0.0016912000000000003}"
match_09c4db6b,Flash-AO,25,win,10247,22.425278425216675,0.004822999999999997,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0026539999999999966, ""FlashLite-RC-HP"": 0.002169000000000001}"
match_118e755a,Flash-AO,11,win,10248,9.805015563964844,0.0016143000000000025,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0008410000000000015, ""FlashLite-RC-HP"": 0.0007733000000000011}"
match_126f6841,FlashLite-RC-HP,25,win,10247,24.688754320144653,0.004889299999999999,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.002551300000000003, ""Flash-AO"": 0.0023379999999999963}"
match_14e30747,Flash-AO,25,win,10265,21.06639337539673,0.005802799999999941,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.002653999999999962, ""FlashLite-RC-HP"": 0.0031487999999999794}"
match_185d6154,FlashLite-RC-HP,22,win,10246,16.381545782089233,0.0038864,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.002036999999999997, ""FlashLite-RC-HP"": 0.0018494000000000028}"
match_1bcb3d0d,Flash-AO,16,win,10265,12.253965139389038,0.0024179000000000422,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0011567000000000244, ""Flash-AO"": 0.0012612000000000179}"
match_1f6d7919,Flash-AO,25,win,10260,22.67486047744751,0.006057900000000019,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0028217000000000103, ""FlashLite-RC-HP"": 0.0032362000000000085}"
match_20487813,Flash-AO,25,win,10251,18.589162826538086,0.004911899999999997,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0028216999999999964, ""FlashLite-RC-HP"": 0.0020902000000000004}"
match_2ac06dda,FlashLite-RC-HP,25,win,10261,21.40596842765808,0.004686000000000037,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.002348000000000003, ""Flash-AO"": 0.0023380000000000345}"
match_2d4582c3,Flash-AO,16,win,10251,11.303101062774658,0.002177100000000022,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0009159000000000111, ""Flash-AO"": 0.001261200000000011}"
match_31b82912,FlashLite-RC-HP,25,win,10248,20.14741063117981,0.005114800000000006,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0027768000000000063, ""Flash-AO"": 0.002338}"
match_32f7d5db,FlashLite-RC-HP,25,win,10255,20.5114529132843,0.004976500000000002,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.002638500000000002, ""Flash-AO"": 0.002338}"
match_37151d83,Flash-AO,16,win,10263,13.510255336761475,0.0025337000000000276,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0012725000000000097, ""Flash-AO"": 0.0012612000000000179}"
match_39515d07,FlashLite-RC-HP,25,win,10258,24.903372526168823,0.005677000000000022,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.003338999999999988, ""Flash-AO"": 0.0023380000000000345}"
match_3d15df3d,Flash-AO,22,win,10243,18.63722038269043,0.0038009000000000003,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0017618, ""Flash-AO"": 0.0020391000000000003}"
match_3d42f204,FlashLite-RC-HP,24,win,10245,15.93480396270752,0.0041509999999999984,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0023355999999999967, ""FlashLite-RC-HP"": 0.0018154000000000017}"
match_3fdd7629,Flash-AO,25,win,10254,16.744861841201782,0.004639000000000018,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0026540000000000175, ""FlashLite-RC-HP"": 0.0019850000000000007}"
match_46ee6855,Flash-AO,13,win,10259,10.72667121887207,0.0017872999999999917,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0010405999999999888, ""FlashLite-RC-HP"": 0.0007467000000000029}"
match_4a6c44cc,FlashLite-RC-HP,23,win,10259,17.094407081604004,0.004041100000000047,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0020020000000000177, ""Flash-AO"": 0.0020391000000000298}"
match_4ed895da,Flash-AO,16,win,10253,11.429566860198975,0.0022293999999999994,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0009681999999999885, ""Flash-AO"": 0.001261200000000011}"
match_4f0d2576,Flash-AO,13,win,10257,10.902185201644897,0.0018072999999999909,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0010405999999999888, ""FlashLite-RC-HP"": 0.0007667000000000021}"
match_52adb037,FlashLite-RC-HP,25,win,10242,33.58435106277466,0.0050352,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0026972000000000003, ""Flash-AO"": 0.002338}"
match_544f502e,Flash-AO,15,win,10242,13.654383659362793,0.0022306,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.0012599999999999998, ""FlashLite-RC-HP"": 0.0009706000000000003}"
match_59d029d7,Flash-AO,25,win,10263,19.87255096435547,0.004818099999999978,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.002653999999999962, ""FlashLite-RC-HP"": 0.002164100000000016}"
match_5c8c0980,FlashLite-RC-HP,23,win,10256,16.717901468276978,0.004069700000000023,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0020306000000000005, ""Flash-AO"": 0.002039100000000023}"
match_5e2ff5b1,FlashLite-RC-HP,9,win,10264,7.966903209686279,0.0011588000000000154,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.0006576000000000082, ""Flash-AO"": 0.0005012000000000072}"
match_67a5be2a,Flash-AO,25,win,10264,25.89474105834961,0.005296599999999971,console,Flash-AO,"Flash-AO,FlashLite-RC-HP","{""Flash-AO"": 0.002653999999999962, ""FlashLite-RC-HP"": 0.002642600000000009}"
match_7dffcf3b,FlashLite-RC-HP,23,win,10246,17.016406059265137,0.004229899999999998,console,FlashLite-RC-HP,"FlashLite-RC-HP,Flash-AO","{""FlashLite-RC-HP"": 0.002190800000000003, ""Flash-AO"": 0.002039099999999995}"
