match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_0308fab6,Mini-AO,16,win,13265,9.136331558227539,0.0010155499999999935,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0003997999999999953, ""Mini-AO"": 0.0006157499999999982}"
match_05f82deb,Mini-AO,17,win,13259,15.385993003845215,0.001232900000000002,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0008340000000000014, ""FlashLite-AO"": 0.00039890000000000064}"
match_0f415adb,Mini-AO,16,win,13244,9.60794711112976,0.0010155500000000005,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00039980000000000007, ""Mini-AO"": 0.0006157500000000004}"
match_0f80c19a,Mini-AO,18,win,13262,11.154725313186646,0.0012107499999999966,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00047619999999999607, ""Mini-AO"": 0.0007345500000000005}"
match_130f1c58,Mini-AO,17,win,13256,16.92931580543518,0.001261700000000001,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0008628000000000004, ""FlashLite-AO"": 0.00039890000000000064}"
match_194b7743,Mini-AO,16,win,13255,9.860337018966675,0.001015550000000004,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00039980000000000224, ""Mini-AO"": 0.0006157500000000017}"
match_1c34d3e0,Mini-AO,21,win,13250,11.66340446472168,0.001558549999999997,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0010006500000000005, ""FlashLite-AO"": 0.0005578999999999966}"
match_217a9d7a,FlashLite-AO,21,win,13259,12.942771434783936,0.0015115999999999984,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0006481999999999981, ""Mini-AO"": 0.0008634000000000003}"
match_23db962a,Mini-AO,16,win,13245,10.266202926635742,0.0010473500000000011,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00039980000000000007, ""Mini-AO"": 0.0006475500000000011}"
match_25ec9f65,Mini-AO,16,win,13243,9.288136959075928,0.00101555,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00039980000000000007, ""Mini-AO"": 0.00061575}"
match_2d93f2a1,Mini-AO,21,win,13246,14.102654695510864,0.0015921499999999996,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0010342500000000004, ""FlashLite-AO"": 0.0005578999999999992}"
match_3c02a43d,Mini-AO,16,win,13256,10.496577978134155,0.001015550000000004,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00039980000000000224, ""Mini-AO"": 0.0006157500000000017}"
match_41700fa0,Mini-AO,21,win,13258,17.223989725112915,0.0016899500000000026,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0011320500000000025, ""FlashLite-AO"": 0.0005579000000000001}"
match_41f19d58,Mini-AO,15,win,13251,12.067857027053833,0.001044950000000001,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0007159499999999999, ""FlashLite-AO"": 0.00032900000000000117}"
match_43b9ca92,Mini-AO,16,win,13242,12.464638471603394,0.00101555,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0003998, ""Mini-AO"": 0.00061575}"
match_48875ba8,Mini-AO,21,win,13249,19.05381941795349,0.00172295,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0011650500000000008, ""FlashLite-AO"": 0.0005578999999999992}"
match_4ab7b82f,Mini-AO,16,win,13254,9.041053295135498,0.001015550000000004,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00039980000000000224, ""Mini-AO"": 0.0006157500000000017}"
match_4ad2a4c8,Mini-AO,25,win,13262,20.387182474136353,0.002148600000000011,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0014061000000000073, ""FlashLite-AO"": 0.0007425000000000036}"
match_4eefb59b,Mini-AO,21,win,13248,20.757961988449097,0.0017175499999999974,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0011596499999999982, ""FlashLite-AO"": 0.0005578999999999992}"
match_4f902c3e,Mini-AO,16,win,13247,11.281543731689453,0.001047349999999999,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0003998000000000005, ""Mini-AO"": 0.0006475499999999985}"
