match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_008f8294,FlashLite-AO,15,win,13245,20.808472633361816,0.0011166000000000001,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00047940000000000005, ""Mini-AO"": 0.0006372}"
match_06d289dc,Mini-AO,11,win,13248,9.296895742416382,0.0008211999999999999,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0005535, ""FlashLite-AO"": 0.00026769999999999995}"
match_09c2c9c1,Mini-AO,23,win,13253,23.07200264930725,0.0021997500000000003,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.00145305, ""FlashLite-AO"": 0.0007467000000000001}"
match_10b6f9f3,Mini-AO,11,win,13247,10.22917628288269,0.0008242,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0005565, ""FlashLite-AO"": 0.00026769999999999995}"
match_11b244a6,Mini-AO,21,win,13249,19.942280530929565,0.001983,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0013302, ""FlashLite-AO"": 0.0006528}"
match_11d2af39,Mini-AO,16,win,13259,10.277907371520996,0.0012287,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00047840000000000003, ""Mini-AO"": 0.0007503}"
match_19b4e77a,Mini-AO,17,win,13246,15.247406244277954,0.00142105,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.00094365, ""FlashLite-AO"": 0.0004774}"
match_1bbc199a,FlashLite-AO,17,win,13257,12.613702774047852,0.0013111,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0005623000000000001, ""Mini-AO"": 0.0007488}"
match_206446b7,FlashLite-AO,17,win,13253,12.052841663360596,0.001311,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0005616, ""Mini-AO"": 0.0007494}"
match_2a410a93,Mini-AO,17,win,13261,17.830770254135132,0.00152045,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.00103905, ""FlashLite-AO"": 0.0004814}"
match_2bef4431,FlashLite-AO,17,win,13261,11.293234586715698,0.0013127999999999998,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0005616, ""Mini-AO"": 0.0007511999999999999}"
match_3df286d2,Mini-AO,16,win,13249,11.91580080986023,0.0012412999999999999,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0004904, ""Mini-AO"": 0.0007509}"
match_3f18f917,Mini-AO,16,win,13250,15.649914979934692,0.0012687,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0004848, ""Mini-AO"": 0.0007839}"
match_535ae063,Mini-AO,18,win,13264,12.594942569732666,0.00144035,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0005612, ""Mini-AO"": 0.00087915}"
match_5dd3cd8d,Mini-AO,17,win,13256,15.192976236343384,0.00145045,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.00097305, ""FlashLite-AO"": 0.0004774}"
match_6211aaa6,FlashLite-AO,19,win,13242,17.17513632774353,0.0015614499999999998,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0006508, ""Mini-AO"": 0.0009106499999999999}"
match_63a4afff,Mini-AO,21,win,13243,20.795454025268555,0.0020406,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0013913999999999999, ""FlashLite-AO"": 0.0006492000000000001}"
match_653c35b1,Mini-AO,16,win,13252,16.337606191635132,0.0012295000000000001,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00047920000000000005, ""Mini-AO"": 0.0007503}"
match_67361627,FlashLite-AO,15,win,13260,12.98909044265747,0.0011765999999999999,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00047940000000000005, ""Mini-AO"": 0.0006971999999999999}"
match_6c08a15d,FlashLite-AO,21,win,13244,15.070841073989868,0.00180015,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0007464, ""Mini-AO"": 0.00105375}"
match_73dafe14,Mini-AO,19,win,13265,16.665796041488647,0.0017073,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0011472, ""FlashLite-AO"": 0.0005601}"
match_7696b588,Mini-AO,16,win,13262,12.598526954650879,0.0012681,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0004812, ""Mini-AO"": 0.0007869000000000001}"
match_7969eacb,Mini-AO,11,win,13254,10.5950186252594,0.0008242,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0005565, ""FlashLite-AO"": 0.00026769999999999995}"
match_7c356e34,Mini-AO,17,win,13255,17.1344313621521,0.0014616499999999997,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0009814499999999998, ""FlashLite-AO"": 0.00048019999999999996}"
match_828a1804,Mini-AO,19,win,13264,16.61517882347107,0.0016755,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0011154, ""FlashLite-AO"": 0.0005601}"
match_8c415222,Mini-AO,13,win,13257,14.835670471191406,0.0010617,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0007304999999999999, ""FlashLite-AO"": 0.00033120000000000003}"
match_8fe66d7f,Mini-AO,17,win,13250,17.567530632019043,0.00145605,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.00097665, ""FlashLite-AO"": 0.0004794}"
match_9b7712ea,Mini-AO,19,win,13259,18.809566974639893,0.0017439,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0011802, ""FlashLite-AO"": 0.0005637}"
match_a5a64ef7,Mini-AO,21,win,13245,18.95775008201599,0.0019442,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0012942000000000001, ""FlashLite-AO"": 0.0006500000000000001}"
match_aa2883f9,Mini-AO,16,win,13263,11.396064281463623,0.0012323,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.000482, ""Mini-AO"": 0.0007503}"
