match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_04aec0ce,Flash-AO,16,win,6351,16.265629768371582,0.0021814,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0009417999999999996, ""Flash-AO"": 0.0012396000000000004}"
match_08a7b328,Flash-AO,21,win,6343,23.41653299331665,0.0030104000000000003,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0020055000000000003, ""FlashLite-RC"": 0.0010049}"
match_1a742ca5,Flash-AO,21,win,6346,17.557331085205078,0.003164099999999996,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0019973999999999964, ""FlashLite-RC"": 0.0011666999999999997}"
match_2507df7c,Flash-AO,16,win,6352,13.19689679145813,0.002029000000000003,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0007894000000000026, ""Flash-AO"": 0.0012396000000000004}"
match_44f740bd,FlashLite-RC,23,win,6348,17.896414279937744,0.0035252999999999986,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0015258000000000008, ""Flash-AO"": 0.001999499999999998}"
match_4af7fb53,Flash-AO,25,win,6352,25.38050127029419,0.0051119000000000026,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0025994000000000017, ""FlashLite-RC"": 0.002512500000000001}"
match_5762203a,Flash-AO,19,win,6353,14.804998397827148,0.0026871000000000048,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.001732400000000009, ""FlashLite-RC"": 0.0009546999999999958}"
match_58b98b62,FlashLite-RC,21,win,6346,17.14162278175354,0.003066599999999999,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0013395999999999998, ""Flash-AO"": 0.0017269999999999994}"
match_728ee6ce,FlashLite-RC,16,win,6351,13.938490390777588,0.002108699999999998,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0012384000000000006, ""FlashLite-RC"": 0.0008702999999999975}"
match_752b2143,FlashLite-RC,25,win,6345,19.89816379547119,0.003797,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0015057999999999998, ""Flash-AO"": 0.0022912}"
match_95388a1f,Flash-AO,17,win,6350,14.86160159111023,0.0023083000000000027,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0014785000000000076, ""FlashLite-RC"": 0.0008297999999999951}"
match_a6088718,Flash-AO,19,win,6349,15.620922327041626,0.0027734999999999947,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0017323999999999985, ""FlashLite-RC"": 0.0010410999999999962}"
match_b88b1977,Flash-AO,25,win,6344,29.122782945632935,0.005035299999999999,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.002599399999999999, ""FlashLite-RC"": 0.0024358999999999995}"
match_ba6e17ec,Flash-AO,21,win,6348,14.762238025665283,0.0030693999999999964,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.002005499999999997, ""FlashLite-RC"": 0.0010638999999999996}"
match_c5b46b90,FlashLite-RC,23,win,6353,22.29827642440796,0.004091799999999996,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.002092299999999995, ""Flash-AO"": 0.0019995000000000013}"
match_cac74ef3,FlashLite-RC,25,win,6344,24.62729835510254,0.0038521000000000007,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0015609000000000005, ""Flash-AO"": 0.0022912}"
match_cd0f475d,FlashLite-RC,25,win,6349,25.80058217048645,0.004469999999999995,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.002178799999999998, ""Flash-AO"": 0.0022911999999999967}"
match_d87cb940,Flash-AO,21,win,6342,24.574342012405396,0.0030819,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0020055, ""FlashLite-RC"": 0.0010764}"
match_d8db6e32,Flash-AO,16,win,6342,14.046306371688843,0.0019353,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0006957, ""Flash-AO"": 0.0012396}"
match_d9ded2bb,FlashLite-RC,25,win,6350,22.218565940856934,0.004212900000000002,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0019217000000000019, ""Flash-AO"": 0.0022912}"
match_da198564,FlashLite-RC,25,win,6347,24.126344919204712,0.004190599999999992,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0018993999999999955, ""Flash-AO"": 0.0022911999999999967}"
match_dbfee9c7,FlashLite-RC,21,win,6343,19.261069297790527,0.0029958999999999993,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0012688999999999999, ""Flash-AO"": 0.0017269999999999994}"
match_e4cc2f0e,Flash-AO,21,win,6345,18.106592178344727,0.0030084999999999956,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0020003999999999994, ""FlashLite-RC"": 0.0010080999999999962}"
match_f95734df,Flash-AO,23,win,6347,20.657825231552124,0.003815800000000001,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0022920999999999983, ""FlashLite-RC"": 0.0015237000000000028}"
