match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_0d7ebd45,GPT4oMini-AO,25,win,16248,76.45834469795227,0.0120056,console,GPT4oMini-AO,"GPT4oMini-AO,GPT5Mini-AO","{""GPT4oMini-AO"": 0.0015411000000000001, ""GPT5Mini-AO"": 0.0104645}"
match_11bb53ca,GPT4oMini-AO,25,win,16265,89.8683431148529,0.0166016,console,GPT4oMini-AO,"GPT4oMini-AO,GPT5Mini-AO","{""GPT4oMini-AO"": 0.0015351, ""GPT5Mini-AO"": 0.0150665}"
match_1449310c,GPT5Mini-AO,23,win,16262,97.58305191993713,0.01778,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-AO","{""GPT5Mini-AO"": 0.0167015, ""GPT4oMini-AO"": 0.0010785}"
match_144cb3ed,GPT5Mini-AO,23,win,16265,92.88087821006775,0.0183156,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-AO","{""GPT5Mini-AO"": 0.0172395, ""GPT4oMini-AO"": 0.0010761}"
match_1763ced4,GPT5Mini-AO,26,win,16253,73.51619005203247,0.014745250000000001,console,GPT4oMini-AO,"GPT4oMini-AO,GPT5Mini-AO","{""GPT4oMini-AO"": 0.0015075000000000002, ""GPT5Mini-AO"": 0.013237750000000001}"
match_179903ee,GPT4oMini-AO,22,forfeit,16247,95.60437893867493,0.01552255,console,GPT4oMini-AO,"GPT4oMini-AO,GPT5Mini-AO","{""GPT4oMini-AO"": 0.0012130499999999998, ""GPT5Mini-AO"": 0.0143095}"
match_1db248d7,GPT5Mini-AO,22,win,16250,65.927725315094,0.01078295,console,GPT4oMini-AO,"GPT4oMini-AO,GPT5Mini-AO","{""GPT4oMini-AO"": 0.00126345, ""GPT5Mini-AO"": 0.0095195}"
match_1e859648,GPT5Mini-AO,23,win,16248,117.32260179519653,0.0201216,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-AO","{""GPT5Mini-AO"": 0.0190455, ""GPT4oMini-AO"": 0.0010761}"
match_28359bd1,GPT4oMini-AO,25,win,16263,86.28207015991211,0.0172718,console,GPT4oMini-AO,"GPT4oMini-AO,GPT5Mini-AO","{""GPT4oMini-AO"": 0.0015393000000000002, ""GPT5Mini-AO"": 0.0157325}"
match_2c58d3b2,GPT5Mini-AO,23,win,16254,80.08397173881531,0.0170294,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-AO","{""GPT5Mini-AO"": 0.0159875, ""GPT4oMini-AO"": 0.0010419000000000001}"
match_2cac2faa,GPT4oMini-AO,25,win,16251,60.808847427368164,0.010926800000000002,console,GPT4oMini-AO,"GPT4oMini-AO,GPT5Mini-AO","{""GPT4oMini-AO"": 0.0015723, ""GPT5Mini-AO"": 0.009354500000000002}"
match_321bc0a7,GPT5Mini-AO,23,win,16253,100.52904963493347,0.0145294,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-AO","{""GPT5Mini-AO"": 0.0134875, ""GPT4oMini-AO"": 0.0010419000000000001}"
match_33b67bdf,GPT5Mini-AO,23,win,16243,96.88210535049438,0.013797400000000001,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-AO","{""GPT5Mini-AO"": 0.012755500000000001, ""GPT4oMini-AO"": 0.0010419000000000001}"
match_35997db6,GPT5Mini-AO,23,win,16261,94.55847573280334,0.020223600000000005,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-AO","{""GPT5Mini-AO"": 0.019147500000000005, ""GPT4oMini-AO"": 0.0010761}"
