match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_051dfb79,GPT4oMini-RC-TR-HP,25,win,17249,99.21633458137512,0.01743835,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.00452835, ""GPT5Mini-AO"": 0.01291}"
match_08367531,GPT4oMini-RC-TR-HP,25,win,17247,103.27477884292603,0.018331350000000003,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.00489735, ""GPT5Mini-AO"": 0.013434000000000001}"
match_092b07e1,GPT5Mini-AO,25,win,17265,149.94321537017822,0.0216637,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.017573500000000002, ""GPT4oMini-RC-TR-HP"": 0.0040901999999999996}"
match_0f38263c,GPT5Mini-AO,25,win,17250,147.53434419631958,0.0177934,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.013745500000000003, ""GPT4oMini-RC-TR-HP"": 0.004047899999999999}"
match_185d320b,GPT4oMini-RC-TR-HP,25,win,17258,91.94944405555725,0.01575835,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.00419835, ""GPT5Mini-AO"": 0.01156}"
match_1a2d9f63,GPT5Mini-AO,25,win,17260,127.381023645401,0.01810345,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.0131995, ""GPT4oMini-RC-TR-HP"": 0.00490395}"
match_1aeaa6c8,GPT4oMini-RC-TR-HP,25,win,17260,126.9660918712616,0.0179172,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.005401200000000001, ""GPT5Mini-AO"": 0.012516000000000001}"
match_2583ecd4,GPT5Mini-AO,25,win,17262,202.27082228660583,0.029999600000000005,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.025887500000000004, ""GPT4oMini-RC-TR-HP"": 0.0041121}"
match_28de348f,GPT4oMini-RC-TR-HP,25,win,17250,133.434232711792,0.01902315,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.004425149999999999, ""GPT5Mini-AO"": 0.014598}"
match_2b080c72,GPT5Mini-AO,25,win,17252,141.92242288589478,0.0272214,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.0233955, ""GPT4oMini-RC-TR-HP"": 0.0038258999999999997}"
match_3a36ce46,GPT4oMini-RC-TR-HP,25,win,17242,114.22684907913208,0.018730350000000003,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.00480435, ""GPT5Mini-AO"": 0.013926000000000003}"
match_3ba7092f,GPT5Mini-AO,25,win,17251,109.34392404556274,0.018778050000000004,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.014599500000000003, ""GPT4oMini-RC-TR-HP"": 0.0041785500000000005}"
match_3d153c59,GPT5Mini-AO,25,win,17258,140.14864253997803,0.022082549999999996,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.017959499999999996, ""GPT4oMini-RC-TR-HP"": 0.00412305}"
match_447bbbfd,GPT4oMini-RC-TR-HP,25,win,17262,128.4042809009552,0.0166346,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.0043206, ""GPT5Mini-AO"": 0.012314}"
match_478d0745,GPT4oMini-RC-TR-HP,25,win,17246,110.09754300117493,0.0213177,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.004613699999999999, ""GPT5Mini-AO"": 0.016704}"
match_4f63ce30,GPT4oMini-RC-TR-HP,25,win,17244,146.6902561187744,0.019426950000000002,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.004258950000000001, ""GPT5Mini-AO"": 0.015168000000000001}"
match_5340bb83,GPT5Mini-AO,25,win,17246,150.43084073066711,0.0277563,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.0236595, ""GPT4oMini-RC-TR-HP"": 0.0040968}"
match_53d9a608,GPT5Mini-AO,25,win,17253,183.90458631515503,0.029846049999999996,console,GPT5Mini-AO,"GPT5Mini-AO,GPT4oMini-RC-TR-HP","{""GPT5Mini-AO"": 0.025865499999999996, ""GPT4oMini-RC-TR-HP"": 0.003980549999999999}"
match_5c1b135e,GPT5Mini-AO,26,win,17251,147.03162217140198,0.024239749999999997,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.004656749999999999, ""GPT5Mini-AO"": 0.019583}"
match_61de5225,GPT4oMini-RC-TR-HP,25,win,17243,93.07775712013245,0.0156639,console,GPT4oMini-RC-TR-HP,"GPT4oMini-RC-TR-HP,GPT5Mini-AO","{""GPT4oMini-RC-TR-HP"": 0.0041799, ""GPT5Mini-AO"": 0.011484}"
