match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_04180e89,Mini-AO,19,win,22257,39.22891283035278,0.0014120499999999998,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.000932849999999999, ""FlashLite-AO"": 0.0004792000000000008}"
match_070e5582,Mini-AO,19,win,22261,41.102981090545654,0.001444850000000001,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0009658500000000042, ""FlashLite-AO"": 0.0004789999999999968}"
match_09e068f3,FlashLite-AO,21,win,22254,44.10989260673523,0.0015204499999999996,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0006520999999999992, ""Mini-AO"": 0.0008683500000000004}"
match_0cbbc482,FlashLite-AO,21,win,22264,49.392898082733154,0.0015529499999999974,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.000652800000000002, ""Mini-AO"": 0.0009001499999999954}"
match_1a1918d3,Mini-AO,15,win,22253,30.976532220840454,0.0009849999999999946,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.000652799999999995, ""FlashLite-AO"": 0.0003321999999999995}"
match_1acac28c,Mini-AO,19,win,22259,40.06237554550171,0.0014114499999999912,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0009322499999999956, ""FlashLite-AO"": 0.0004791999999999956}"
match_21eae0ef,Mini-AO,17,win,22249,43.63076734542847,0.0012398,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0008372999999999992, ""FlashLite-AO"": 0.00040250000000000095}"
match_21f393e2,FlashLite-AO,19,win,22243,36.72565674781799,0.0013021500000000002,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0005631000000000004, ""Mini-AO"": 0.0007390499999999998}"
match_266e3e0e,Mini-AO,21,win,22244,44.59238290786743,0.0017331499999999993,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.001171049999999999, ""FlashLite-AO"": 0.0005621000000000003}"
match_28dc2df6,Mini-AO,16,win,22247,30.48158836364746,0.0010231999999999975,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00040339999999999907, ""Mini-AO"": 0.0006197999999999985}"
match_36251c6c,Mini-AO,17,win,22248,35.39352607727051,0.0011735,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0007712999999999991, ""FlashLite-AO"": 0.000402200000000001}"
match_3af61d00,FlashLite-AO,22,win,22263,45.81010150909424,0.0017212499999999936,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0010696499999999984, ""FlashLite-AO"": 0.0006515999999999952}"
match_406ff21a,Mini-AO,18,win,22260,39.175347089767456,0.0012605499999999957,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0004794999999999938, ""Mini-AO"": 0.0007810500000000019}"
match_53b76bd3,Mini-AO,23,win,22265,47.06942129135132,0.0018064999999999956,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.001155299999999998, ""FlashLite-AO"": 0.0006511999999999976}"
match_56d38b7e,FlashLite-AO,21,win,22251,40.12067222595215,0.0015211499999999954,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0006527999999999968, ""Mini-AO"": 0.0008683499999999986}"
match_59c6c94f,FlashLite-AO,15,win,22249,35.099446058273315,0.0009139999999999973,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00040339999999999907, ""Mini-AO"": 0.0005105999999999982}"
match_5a6ece67,Mini-AO,21,win,22260,50.88716650009155,0.001665349999999996,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.00110325, ""FlashLite-AO"": 0.0005620999999999959}"
match_6042f415,FlashLite-AO,19,win,22259,40.252256870269775,0.0013024500000000036,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0005634000000000021, ""Mini-AO"": 0.0007390500000000015}"
match_74814f4b,FlashLite-AO,23,win,22253,47.095943212509155,0.0017872999999999986,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0007477999999999999, ""Mini-AO"": 0.0010394999999999988}"
match_8245816d,FlashLite-AO,19,win,22258,42.551612854003906,0.0013340500000000068,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.0005632000000000033, ""Mini-AO"": 0.0007708500000000035}"
match_99882783,Mini-AO,19,win,22256,40.557393074035645,0.0014129499999999979,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0009340499999999988, ""FlashLite-AO"": 0.0004788999999999991}"
match_a2d57157,FlashLite-AO,24,win,22251,48.660465240478516,0.001965999999999999,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0012188999999999985, ""FlashLite-AO"": 0.0007471000000000005}"
match_be35589c,FlashLite-AO,15,win,22244,31.477662324905396,0.0009139999999999999,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00040339999999999994, ""Mini-AO"": 0.0005105999999999999}"
match_c0bb2e78,Mini-AO,19,win,22250,35.84901690483093,0.0013457499999999989,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0008668499999999989, ""FlashLite-AO"": 0.0004789}"
match_c6b794e4,Mini-AO,16,win,22250,32.2404625415802,0.0010231999999999975,console,FlashLite-AO,"FlashLite-AO,Mini-AO","{""FlashLite-AO"": 0.00040339999999999907, ""Mini-AO"": 0.0006197999999999985}"
match_ca902dbf,FlashLite-AO,20,win,22247,41.94779348373413,0.0015616499999999978,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0009994499999999972, ""FlashLite-AO"": 0.0005622000000000005}"
match_cad71928,Mini-AO,15,win,22255,34.36166477203369,0.0010185999999999997,console,Mini-AO,"Mini-AO,FlashLite-AO","{""Mini-AO"": 0.0006864000000000002, ""FlashLite-AO"": 0.0003321999999999995}"
