match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_09a239c6,Flash-AO,17,win,22248,33.11467456817627,0.0022429999999999998,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0017575999999999998, ""FlashLite-AO"": 0.0004854}"
match_0d0b6ca9,FlashLite-AO,24,win,22243,39.163614988327026,0.0034967999999999996,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0026444999999999997, ""FlashLite-AO"": 0.0008523}"
match_1ad68170,Flash-AO,21,win,22246,40.04233527183533,0.0029747999999999997,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0023210999999999996, ""FlashLite-AO"": 0.0006537000000000001}"
match_28bcf142,Flash-AO,23,win,22242,91.83581709861755,0.0033815,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.002632, ""FlashLite-AO"": 0.0007495}"
match_379ae273,Flash-AO,16,win,22249,42.19595551490784,0.0019757999999999998,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0004809, ""Flash-AO"": 0.0014949}"
match_38bbf185,Flash-AO,19,win,22251,26.009696006774902,0.0025854999999999997,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.002021, ""FlashLite-AO"": 0.0005645}"
match_4366cf67,Flash-AO,16,win,22252,55.33805012702942,0.0019757999999999998,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0004809, ""Flash-AO"": 0.0014949}"
match_670854d3,Flash-AO,23,win,22244,53.83847904205322,0.0033835999999999996,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0026339999999999996, ""FlashLite-AO"": 0.0007496}"
match_693449a3,Flash-AO,22,win,22246,39.098060607910156,0.0030738000000000002,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0007487, ""Flash-AO"": 0.0023251}"
match_69882bb1,Flash-AO,22,win,22251,44.032225131988525,0.0030773,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0007488, ""Flash-AO"": 0.0023285}"
match_710c0554,Flash-AO,22,win,22242,59.42729449272156,0.0030921,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0007486, ""Flash-AO"": 0.0023435}"
match_7a5b1620,Flash-AO,21,win,22245,29.79928469657898,0.0029934,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0023393999999999997, ""FlashLite-AO"": 0.000654}"
match_7f32a4d8,Flash-AO,19,win,22250,31.953836679458618,0.0025927,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0020285, ""FlashLite-AO"": 0.0005642}"
match_8c8c4917,FlashLite-AO,26,win,22247,105.09615993499756,0.0039273,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0029668000000000003, ""FlashLite-AO"": 0.0009605}"
match_91ac3010,Flash-AO,20,win,22253,85.94127631187439,0.0027248,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0006600999999999999, ""Flash-AO"": 0.0020647}"
match_93671f31,Flash-AO,16,win,22244,62.43873715400696,0.0019944,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.00048449999999999996, ""Flash-AO"": 0.0015099}"
match_94681b30,Flash-AO,21,win,22252,67.1603171825409,0.0029942,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0023385999999999997, ""FlashLite-AO"": 0.0006555999999999999}"
match_9a6aee08,Flash-AO,20,win,22247,42.9388906955719,0.0026837,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0006531, ""Flash-AO"": 0.0020306}"
match_ae1bc572,Flash-AO,20,win,22245,125.86306929588318,0.0026911,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0006539, ""Flash-AO"": 0.0020372}"
match_afa6c188,Flash-AO,13,win,22253,57.62742614746094,0.0016052999999999996,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0012708999999999997, ""FlashLite-AO"": 0.0003344}"
match_b2d3dcd7,Flash-AO,16,win,22243,28.399598598480225,0.0019833,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0004809, ""Flash-AO"": 0.0015024}"
match_c50cde50,FlashLite-AO,19,win,22248,61.064446449279785,0.0024162999999999997,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0006533999999999999, ""Flash-AO"": 0.0017629}"
match_d5a401cf,Flash-AO,22,win,22250,35.72034239768982,0.0030770999999999997,console,FlashLite-AO,"FlashLite-AO,Flash-AO","{""FlashLite-AO"": 0.0007486, ""Flash-AO"": 0.0023285}"
match_d5acf5c4,Flash-AO,19,win,22249,28.841505527496338,0.0025957,console,Flash-AO,"Flash-AO,FlashLite-AO","{""Flash-AO"": 0.0020315, ""FlashLite-AO"": 0.0005642}"
