match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_1633b991,Attack-B,9,win,21244,0.09838247299194336,0.0,console,Attack-B,"Attack-B,Attack-A","{""Attack-B"": 0.0, ""Attack-A"": 0.0}"
match_2c99b18f,Attack-A,9,win,21244,0.1045691967010498,0.0,console,Attack-A,"Attack-A,Attack-B","{""Attack-A"": 0.0, ""Attack-B"": 0.0}"
match_32d7f3a2,Attack-A,10,win,21248,0.12106847763061523,0.0,console,Attack-B,"Attack-B,Attack-A","{""Attack-B"": 0.0, ""Attack-A"": 0.0}"
match_348c0fc6,Attack-B,10,win,21247,0.10468029975891113,0.0,console,Attack-A,"Attack-A,Attack-B","{""Attack-A"": 0.0, ""Attack-B"": 0.0}"
match_5032b310,Attack-B,9,win,21252,0.11176323890686035,0.0,console,Attack-B,"Attack-B,Attack-A","{""Attack-B"": 0.0, ""Attack-A"": 0.0}"
match_55974564,Attack-A,9,win,21243,0.11730837821960449,0.0,console,Attack-A,"Attack-A,Attack-B","{""Attack-A"": 0.0, ""Attack-B"": 0.0}"
match_590fa751,Attack-B,9,win,21250,0.13353562355041504,0.0,console,Attack-B,"Attack-B,Attack-A","{""Attack-B"": 0.0, ""Attack-A"": 0.0}"
match_5d875a50,Attack-A,11,win,21251,0.12515473365783691,0.0,console,Attack-A,"Attack-A,Attack-B","{""Attack-A"": 0.0, ""Attack-B"": 0.0}"
match_645abbe3,Attack-A,10,win,21246,0.11426734924316406,0.0,console,Attack-B,"Attack-B,Attack-A","{""Attack-B"": 0.0, ""Attack-A"": 0.0}"
match_6e36a507,Attack-A,9,win,21250,0.11523628234863281,0.0,console,Attack-A,"Attack-A,Attack-B","{""Attack-A"": 0.0, ""Attack-B"": 0.0}"
match_7583b0c7,Attack-B,10,win,21242,0.11777472496032715,0.0,console,Attack-A,"Attack-A,Attack-B","{""Attack-A"": 0.0, ""Attack-B"": 0.0}"
match_7a20d6bd,Attack-A,10,win,21247,0.12147140502929688,0.0,console,Attack-B,"Attack-B,Attack-A","{""Attack-B"": 0.0, ""Attack-A"": 0.0}"
