match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_013d7acf,Flash-AO,25,win,24248,37.62505745887756,0.0050772000000000005,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0029664, ""FlashLite-RC"": 0.0021108000000000003}"
match_060c1644,FlashLite-RC,26,win,24252,40.453845500946045,0.0052741,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0029705, ""FlashLite-RC"": 0.0023036000000000003}"
match_0e350939,FlashLite-RC,23,win,24245,86.58151412010193,0.0041148,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0017797000000000002, ""Flash-AO"": 0.0023350999999999997}"
match_24511a4b,Flash-AO,24,win,24252,71.34575343132019,0.004853700000000001,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0022181, ""Flash-AO"": 0.0026356}"
match_3a4631ad,FlashLite-RC,25,win,24247,78.6151614189148,0.0045756,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0019306, ""Flash-AO"": 0.0026449999999999998}"
match_4488776b,Flash-AO,23,win,24243,75.69282388687134,0.0043107,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0026602999999999996, ""FlashLite-RC"": 0.0016504000000000002}"
match_4b4f2eec,FlashLite-RC,23,win,24242,35.76903414726257,0.0039957,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0016578, ""Flash-AO"": 0.0023379}"
match_568691a9,FlashLite-RC,25,win,24244,47.30815052986145,0.0046888,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0020566000000000004, ""Flash-AO"": 0.0026322}"
match_5a7907ff,Flash-AO,25,win,24250,61.10835409164429,0.0049564,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0029814, ""FlashLite-RC"": 0.001975}"
match_627091b5,FlashLite-RC,21,win,24249,47.58535361289978,0.0034587000000000003,console,FlashLite-RC,"FlashLite-RC,Flash-AO","{""FlashLite-RC"": 0.0014237000000000002, ""Flash-AO"": 0.002035}"
match_71ba323c,FlashLite-RC,26,win,24253,93.5713243484497,0.0052949,console,Flash-AO,"Flash-AO,FlashLite-RC","{""Flash-AO"": 0.0029755, ""FlashLite-RC"": 0.0023194}"
