match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_0404054a,Flash-AO,25,win,27252,163.46579027175903,0.0205705,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.003003, ""GPT5Mini-AO"": 0.0175675}"
match_0495e867,GPT5Mini-AO,24,win,27265,337.835205078125,0.02630945,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.0026587, ""GPT5Mini-AO"": 0.02365075}"
match_057de4fb,Flash-AO,25,win,27247,230.3511266708374,0.016918999999999997,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.0030055, ""GPT5Mini-AO"": 0.013913499999999997}"
match_09210b5b,GPT5Mini-AO,25,win,27259,339.72018909454346,0.02018015,console,GPT5Mini-AO,"GPT5Mini-AO,Flash-AO","{""GPT5Mini-AO"": 0.01752625, ""Flash-AO"": 0.0026539}"
match_0eefeec8,GPT5Mini-AO,25,win,27261,826.6698632240295,0.01609065,console,GPT5Mini-AO,"GPT5Mini-AO,Flash-AO","{""GPT5Mini-AO"": 0.01343425, ""Flash-AO"": 0.0026564}"
match_1cc2079e,Flash-AO,25,win,27257,262.39205956459045,0.022528999999999997,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.0029755, ""GPT5Mini-AO"": 0.019553499999999998}"
match_2b16d1b5,Flash-AO,25,win,27259,387.29754757881165,0.016301499999999997,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.002978, ""GPT5Mini-AO"": 0.013323499999999997}"
match_331eef72,GPT5Mini-AO,25,win,27258,321.3660521507263,0.02272165,console,GPT5Mini-AO,"GPT5Mini-AO,Flash-AO","{""GPT5Mini-AO"": 0.020060249999999998, ""Flash-AO"": 0.0026614}"
match_34def06c,Flash-AO,25,win,27251,321.598824262619,0.0157395,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.002998, ""GPT5Mini-AO"": 0.0127415}"
match_368aa36b,Flash-AO,23,win,27254,235.65312218666077,0.013199100000000002,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.0026451, ""GPT5Mini-AO"": 0.010554000000000001}"
match_36a0038f,GPT5Mini-AO,25,win,27265,218.85919952392578,0.023032150000000005,console,GPT5Mini-AO,"GPT5Mini-AO,Flash-AO","{""GPT5Mini-AO"": 0.020358250000000005, ""Flash-AO"": 0.0026739}"
match_37395d62,GPT5Mini-AO,25,win,27254,123.08091044425964,0.02291665,console,GPT5Mini-AO,"GPT5Mini-AO,Flash-AO","{""GPT5Mini-AO"": 0.02026025, ""Flash-AO"": 0.0026564}"
match_3c3c12aa,Flash-AO,25,win,27261,271.3811185359955,0.015474,console,Flash-AO,"Flash-AO,GPT5Mini-AO","{""Flash-AO"": 0.0029805, ""GPT5Mini-AO"": 0.0124935}"
