match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_074a70e7,GPT5Mini-AO,24,win,28445,60.66003775596619,0.0125394,console,Mini-AO,"Mini-AO,GPT5Mini-AO","{""Mini-AO"": 0.00145215, ""GPT5Mini-AO"": 0.01108725}"
match_0cc16c01,GPT5Mini-AO,25,win,28453,79.63754868507385,0.013364,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.0119855, ""Mini-AO"": 0.0013785}"
match_1937c0c4,GPT5Mini-AO,24,win,28442,70.72559094429016,0.013161599999999999,console,Mini-AO,"Mini-AO,GPT5Mini-AO","{""Mini-AO"": 0.0014503499999999998, ""GPT5Mini-AO"": 0.01171125}"
match_1d33a066,Mini-AO,24,win,28451,60.850367069244385,0.0119224,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.01052875, ""Mini-AO"": 0.00139365}"
match_246a7afa,GPT5Mini-AO,25,win,28449,58.06052923202515,0.012783,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.0113715, ""Mini-AO"": 0.0014114999999999998}"
match_2794e7a3,Mini-AO,26,win,28443,71.0028624534607,0.0159291,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.01434225, ""Mini-AO"": 0.00158685}"
match_3630eeb6,Mini-AO,24,win,28445,67.54329180717468,0.011859199999999999,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.010478749999999998, ""Mini-AO"": 0.00138045}"
match_3b693d0b,GPT5Mini-AO,24,win,28443,58.02940559387207,0.012849399999999999,console,Mini-AO,"Mini-AO,GPT5Mini-AO","{""Mini-AO"": 0.0014401499999999999, ""GPT5Mini-AO"": 0.01140925}"
match_401f569a,GPT5Mini-AO,25,win,28452,77.10522890090942,0.013632800000000002,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.012255500000000003, ""Mini-AO"": 0.0013773000000000001}"
match_53a04d7e,GPT5Mini-AO,23,win,28442,70.68884038925171,0.011805099999999999,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.010546, ""Mini-AO"": 0.0012591}"
match_54ab57fd,GPT5Mini-AO,25,win,28446,71.38403868675232,0.0127816,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.011435500000000001, ""Mini-AO"": 0.0013461}"
match_54fcd8b4,Mini-AO,23,win,28450,58.21614718437195,0.01116025,console,Mini-AO,"Mini-AO,GPT5Mini-AO","{""Mini-AO"": 0.0014505, ""GPT5Mini-AO"": 0.00970975}"
match_60ee0eec,Mini-AO,25,win,28448,68.00060892105103,0.012519549999999999,console,Mini-AO,"Mini-AO,GPT5Mini-AO","{""Mini-AO"": 0.00171555, ""GPT5Mini-AO"": 0.010804}"
match_75a9c000,GPT5Mini-AO,25,win,28444,57.50559687614441,0.012235799999999998,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.010855499999999999, ""Mini-AO"": 0.0013803}"
match_76b0a18c,GPT5Mini-AO,17,win,28450,89.643315076828,0.0083762,console,GPT5Mini-AO,"GPT5Mini-AO,Mini-AO","{""GPT5Mini-AO"": 0.0076145, ""Mini-AO"": 0.0007617}"
match_78f6deac,GPT5Mini-AO,24,win,28447,58.27496886253357,0.0130708,console,Mini-AO,"Mini-AO,GPT5Mini-AO","{""Mini-AO"": 0.0014455499999999999, ""GPT5Mini-AO"": 0.01162525}"
