match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_03455f00,Gemini,25,win,47,48.886467695236206,0.0054699499999999995,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0025135999999999995, ""GPT"": 0.00295635}"
match_092fceed,GPT,25,win,51,41.3450665473938,0.0045619500000000125,console,GPT,"GPT,Gemini","{""GPT"": 0.0027532500000000057, ""Gemini"": 0.0018087000000000068}"
match_0cde58f5,Gemini,23,win,48,38.08288335800171,0.0040056000000000015,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0017655000000000032, ""GPT"": 0.0022400999999999983}"
match_0cf9cab9,GPT,9,win,49,13.629550695419312,0.0008766999999999976,console,GPT,"GPT,Gemini","{""GPT"": 0.0005756999999999984, ""Gemini"": 0.0003009999999999992}"
match_13483cf8,Gemini,23,win,51,53.68903589248657,0.004855099999999998,console,Gemini,"Gemini,GPT","{""Gemini"": 0.001748000000000003, ""GPT"": 0.0031070999999999946}"
match_14aa111c,GPT,22,win,45,51.68773627281189,0.004660350000000001,console,Gemini,"Gemini,GPT","{""Gemini"": 0.001395600000000002, ""GPT"": 0.0032647499999999986}"
match_2b476d5e,GPT,15,win,46,37.67415523529053,0.002574449999999999,console,GPT,"GPT,Gemini","{""GPT"": 0.001383149999999998, ""Gemini"": 0.001191300000000001}"
match_35dc2716,Gemini,21,win,49,42.91204786300659,0.003462000000000017,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0014784000000000047, ""GPT"": 0.0019836000000000124}"
match_387e9095,Gemini,16,win,43,31.696964979171753,0.0024228999999999995,console,GPT,"GPT,Gemini","{""GPT"": 0.0013190999999999993, ""Gemini"": 0.0011038000000000003}"
match_4a112794,GPT,14,win,46,26.052967071533203,0.0018639,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0005330999999999999, ""GPT"": 0.0013308}"
match_86cab6a4,GPT,12,win,44,22.6247615814209,0.001400150000000001,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0005351000000000019, ""GPT"": 0.0008650499999999992}"
match_8b81f52d,GPT,25,win,42,71.36065244674683,0.00649615,console,GPT,"GPT,Gemini","{""GPT"": 0.0025642499999999997, ""Gemini"": 0.0039319}"
match_ad4b0a10,Gemini,21,win,42,37.187304973602295,0.0033098499999999996,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0012513999999999997, ""GPT"": 0.00205845}"
match_c356bd24,GPT,13,win,48,23.42277979850769,0.0015883499999999988,console,GPT,"GPT,Gemini","{""GPT"": 0.001054949999999999, ""Gemini"": 0.0005333999999999998}"
match_cd4d8a2e,Gemini,22,win,45,75.47720909118652,0.0039006499999999986,console,GPT,"GPT,Gemini","{""GPT"": 0.002077350000000002, ""Gemini"": 0.0018232999999999965}"
match_e5bcee7b,Gemini,16,win,44,34.8459632396698,0.0024741999999999976,console,GPT,"GPT,Gemini","{""GPT"": 0.0012494999999999989, ""Gemini"": 0.0012246999999999987}"
match_ea65dbe6,Gemini,23,win,50,38.33320903778076,0.004191100000000007,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0020016999999999986, ""GPT"": 0.002189400000000008}"
match_f02ed96c,Gemini,22,win,47,39.758739948272705,0.0050013,console,GPT,"GPT,Gemini","{""GPT"": 0.001962600000000002, ""Gemini"": 0.0030386999999999983}"
match_f221d802,Gemini,20,win,50,32.99925184249878,0.003466199999999999,console,GPT,"GPT,Gemini","{""GPT"": 0.001849500000000004, ""Gemini"": 0.0016166999999999952}"
match_f31740bd,Gemini,21,win,43,35.295738220214844,0.003608749999999999,console,Gemini,"Gemini,GPT","{""Gemini"": 0.0017879000000000003, ""GPT"": 0.0018208499999999989}"
