match_id,winner,turns,outcome,seed,duration,cost,player_order_source,first_player,players,player_costs
match_0ca85478,GPT4oMini-S0-AO,19,win,2026044706,14.87897515296936,0.0016737999999999998,console,GPT4oMini-S0-AO,"GPT4oMini-S0-AO,FlashLite-S0-AO","{""GPT4oMini-S0-AO"": 0.0010730999999999998, ""FlashLite-S0-AO"": 0.0006007}"
match_1132e5a3,FlashLite-S0-AO,19,win,2026044705,18.76073384284973,0.0016189,console,FlashLite-S0-AO,"FlashLite-S0-AO,GPT4oMini-S0-AO","{""FlashLite-S0-AO"": 0.0007111, ""GPT4oMini-S0-AO"": 0.0009077999999999998}"
match_1d8e558c,FlashLite-S0-AO,25,win,2026044703,25.598344802856445,0.0025453999999999997,console,FlashLite-S0-AO,"FlashLite-S0-AO,GPT4oMini-S0-AO","{""FlashLite-S0-AO"": 0.0010957999999999999, ""GPT4oMini-S0-AO"": 0.0014495999999999997}"
match_39e309f0,GPT4oMini-S0-AO,19,win,2026044702,15.126791000366211,0.0016737999999999998,console,GPT4oMini-S0-AO,"GPT4oMini-S0-AO,FlashLite-S0-AO","{""GPT4oMini-S0-AO"": 0.0010730999999999998, ""FlashLite-S0-AO"": 0.0006007}"
match_68f9bb2b,GPT4oMini-S0-AO,19,win,2026044704,16.22078514099121,0.0016736,console,GPT4oMini-S0-AO,"GPT4oMini-S0-AO,FlashLite-S0-AO","{""GPT4oMini-S0-AO"": 0.0010730999999999998, ""FlashLite-S0-AO"": 0.0006005}"
match_75203412,GPT4oMini-S0-AO,18,win,2026044704,16.392282962799072,0.0015087999999999998,console,FlashLite-S0-AO,"FlashLite-S0-AO,GPT4oMini-S0-AO","{""FlashLite-S0-AO"": 0.000601, ""GPT4oMini-S0-AO"": 0.0009077999999999998}"
match_7cc3ac0e,FlashLite-S0-AO,17,win,2026044701,15.947961568832397,0.0013565,console,FlashLite-S0-AO,"FlashLite-S0-AO,GPT4oMini-S0-AO","{""FlashLite-S0-AO"": 0.0006017, ""GPT4oMini-S0-AO"": 0.0007547999999999999}"
match_8f4eda10,FlashLite-S0-AO,21,win,2026044706,18.996493577957153,0.0019046999999999996,console,FlashLite-S0-AO,"FlashLite-S0-AO,GPT4oMini-S0-AO","{""FlashLite-S0-AO"": 0.0008301, ""GPT4oMini-S0-AO"": 0.0010745999999999998}"
match_90a91d79,GPT4oMini-S0-AO,19,win,2026044701,17.451451778411865,0.0016736999999999998,console,GPT4oMini-S0-AO,"GPT4oMini-S0-AO,FlashLite-S0-AO","{""GPT4oMini-S0-AO"": 0.0010730999999999998, ""FlashLite-S0-AO"": 0.0006006000000000001}"
match_cbef1355,GPT4oMini-S0-AO,18,win,2026044702,16.91813063621521,0.0015092999999999999,console,FlashLite-S0-AO,"FlashLite-S0-AO,GPT4oMini-S0-AO","{""FlashLite-S0-AO"": 0.0006015, ""GPT4oMini-S0-AO"": 0.0009077999999999998}"
match_d275417f,GPT4oMini-S0-AO,19,win,2026044705,17.79787254333496,0.0016736,console,GPT4oMini-S0-AO,"GPT4oMini-S0-AO,FlashLite-S0-AO","{""GPT4oMini-S0-AO"": 0.0010730999999999998, ""FlashLite-S0-AO"": 0.0006005}"
match_e4881693,GPT4oMini-S0-AO,19,win,2026044703,17.723166465759277,0.0016737999999999998,console,GPT4oMini-S0-AO,"GPT4oMini-S0-AO,FlashLite-S0-AO","{""GPT4oMini-S0-AO"": 0.0010730999999999998, ""FlashLite-S0-AO"": 0.0006007}"
